Magic Word,Magic Power Level
h]\Xt7uh,2
/_rAaM^$,1
Es1a>Fe~,1
Y[mT=/s},1
#\4`PXi^,0
{lLs=^Q?,1
ac&CQ}Q|,1
AqoqIbBF,2
"*|,h='!\",0
wVi`XWn9,1
+Vjq<uWj,2
CM:0;tPl,1
Yh2\lQ++,1
jHW2#']>,0
0^zZEX'],0
r0?8'#Gm,0
"qm,&;mu6",2
JT$ITh^C,1
"@L~+&zg,",2
Z_E7u[@_,1
+p?8vCKo,1
W?5{Vo/c,1
m*u.;1b$,2
?aq*zeOj,2
!=4e>aC`,1
YO4lIB3a,1
"r""%FaJ|=",1
xSSoCB9m,1
cJuM0yE9,1
"q<$8,.(w",2
@Z(`>A/I,0
^Nha[I9F,1
z@u?JFK|,1
"Cg(o//""=",1
&d2R?l+g,1
"s,V7bN<u",1
L?Q3Cu9k,1
"y#"".V!GI",0
)%*>>L%s,0
"-#&,8x<!",0
"7j<Dy,\b",1
cql%Hv^),2
uw-mWTYJ,1
"8:SV,D2n",0
hw6l=Z`I,1
yoq9ajQ#,1
hS.(*bgW,1
",V]}Cl}[",0
CQ$`Xu8S,1
oOF*@/B\,1
+&Y}75l/,0
"""-2*_q&(",0
1Z[E(_D6,0
SKgu7-5V,1
AU3od{94,1
>yg)V^#E,0
lw)ID%mI,1
=\5#z&V*,0
7qwH3PRb,1
.(O2R[6+,0
dm*~]oN7,1
n+0Cr]@i,2
"""#[D.WZ|",0
dQJyh:ig,2
"*""@x-c9=",2
Zm]!p%v+,1
Ob9Zvo<q,2
W7qC}:M&,0
yH.uEge{,2
5r8Sp+Rg,2
!SA$cW-M,1
S5B*Lg~f,1
A$Z}VnK(,1
"=!""'M+fP",0
~cfky3U1,2
2Ds}7rCP,1
}ynHzsf:,2
(vaqf~Iq,2
"e]%3h,k^",2
i|<M!t<C,1
80]eQr)4,1
R6dEPeLd,1
;8j%Gp{F,1
"""lB|',}N",0
PH8)KKac,1
.lZ-M6@m,2
"/7M11""I'",0
3h[9Ln9!,1
A3MyYuuc,2
Txm9jWY<,1
b^7YW*?h,1
X0b\S(8Z,0
@_.LK\1?,0
g|I*`@+%,1
R.w$h+mV,2
4cD1<UK:,0
!5@gJ~GK,1
U9Q<ePPq,1
Ly\/gt[k,2
=i)T`Bts,1
L{#L_$`C,0
blHD0hft,2
h\V_qol:,2
:S^'jSwc,1
BJ(0p%w`,1
7X>FV4uG,0
~4c*pTFR,1
7Lk1w3CO,1
$hG`FF1',1
"!!YYyV""+",0
#`[pY`H!,0
"q>?,ww;,",1
^nO>aFS!,1
O3*RLfpx,1
;H-e6scQ,1
#G=mHw2!,0
fXS>(Q5j,1
WS8n+HE7,0
/0_Jix3C,1
8J)wO>GZ,0
"(J,17oTi",1
DqMGb)mq,2
|>G2Gp0@,1
#]XUxp;+,0
}2FBPosE,1
&@_E*DZP,0
Si_*.A7k,1
"!""t;X&z@",2
*iM9CoU},1
xC%~[K}_,0
TXyz<gz9,2
3nJQM)mg,1
=m~L*z[~,1
!Amc8~zp,2
T!5WSvPX,0
E9]c*HmM,1
[j=Z]M^(,0
"TM""fL#T{",0
"cE)!VP""H",0
#v&_3}x&,0
"6N>$<""<]",0
T6#hQ*yX,0
Nja5RDF[,1
EJH''2t#,0
#+2}B`76,0
<#ZoSjf.,0
D<yLII<M,0
9A7{$^#-,0
*q#3#LD+,0
<39i@4s*,2
~#!MB+&2,0
@HKo9jTd,2
*wRWv<sB,1
;1)$/~F8,1
nn5cswaw,2
:}m%-YT8,0
T6-RvHk\,1
R+n4+bTt,1
ViTM%s1',1
~A:b49d^,1
j0w4O6:\,1
>=kZd.~g,1
n*#&cKk^,0
"Fg,:_xav",2
